Number,number_type,tag,customer_tier,vendor_tier
19284949086,did,Lead Tech,1,1
15638957281,did,Lead Tech,1,1
19127424788,did,Lead Tech,1,1
19127424741,did,Lead Tech,1,1
19127424735,did,Lead Tech,1,1
19705199207,did,Lead Tech,1,1
16592171718,did,Lead Tech,1,1
18702108018,did,Lead Tech,1,1
19127424755,did,Lead Tech,1,1
16592171721,did,Lead Tech,1,1
19284949107,did,Lead Tech,1,1
16592171747,did,Lead Tech,1,1
16592171739,did,Lead Tech,1,1
19127424803,did,Lead Tech,1,1
13024698881,did,Lead Tech,1,1
16592171738,did,Lead Tech,1,1
18702108124,did,Lead Tech,1,1
19284949097,did,Lead Tech,1,1
15638957167,did,Lead Tech,1,1
18702108069,did,Lead Tech,1,1
19284949073,did,Lead Tech,1,1
16592171733,did,Lead Tech,1,1
13024698878,did,Lead Tech,1,1
19705199198,did,Lead Tech,1,1
16592171743,did,Lead Tech,1,1
19127424789,did,Lead Tech,1,1
19284949049,did,Lead Tech,1,1
19705199192,did,Lead Tech,1,1
16592171744,did,Lead Tech,1,1
18702108086,did,Lead Tech,1,1
19284949123,did,Lead Tech,1,1
19127424740,did,Lead Tech,1,1
19127424793,did,Lead Tech,1,1
19862810531,did,Lead Tech,1,1
19705199050,did,Lead Tech,1,1
18702108198,did,Lead Tech,1,1
15638957805,did,Lead Tech,1,1
19705199156,did,Lead Tech,1,1
19705199048,did,Lead Tech,1,1
19127424737,did,Lead Tech,1,1
19862810605,did,Lead Tech,1,1
19127424798,did,Lead Tech,1,1
19862810697,did,Lead Tech,1,1
19705199046,did,Lead Tech,1,1
19127424796,did,Lead Tech,1,1
19127424801,did,Lead Tech,1,1
19127424743,did,Lead Tech,1,1
19705199212,did,Lead Tech,1,1
15638957791,did,Lead Tech,1,1
19127424762,did,Lead Tech,1,1
19705199209,did,Lead Tech,1,1
15638957417,did,Lead Tech,1,1
19705199184,did,Lead Tech,1,1
19284949061,did,Lead Tech,1,1
16592171717,did,Lead Tech,1,1
19127424783,did,Lead Tech,1,1
16592171722,did,Lead Tech,1,1
16592171736,did,Lead Tech,1,1
19705199206,did,Lead Tech,1,1
16592171716,did,Lead Tech,1,1
19127424794,did,Lead Tech,1,1
19127424776,did,Lead Tech,1,1
19284949063,did,Lead Tech,1,1
15638957075,did,Lead Tech,1,1
19284949047,did,Lead Tech,1,1
19284949115,did,Lead Tech,1,1
19284949125,did,Lead Tech,1,1
19705199049,did,Lead Tech,1,1
19127424746,did,Lead Tech,1,1
19284949100,did,Lead Tech,1,1
19127424786,did,Lead Tech,1,1
19127424736,did,Lead Tech,1,1
19127424750,did,Lead Tech,1,1
19127424764,did,Lead Tech,1,1
19127424760,did,Lead Tech,1,1
19127424731,did,Lead Tech,1,1
16592171735,did,Lead Tech,1,1
19705199181,did,Lead Tech,1,1
18702108255,did,Lead Tech,1,1
19705199180,did,Lead Tech,1,1
16592171741,did,Lead Tech,1,1
19705199042,did,Lead Tech,1,1
19127424752,did,Lead Tech,1,1
18728138119,did,Lead Tech,1,1
18122931112,did,Lead Tech,1,1
18122931201,did,Lead Tech,1,1
18122931197,did,Lead Tech,1,1
18122931198,did,Lead Tech,1,1
18122931052,did,Lead Tech,1,1
18122931519,did,Lead Tech,1,1
18122931110,did,Lead Tech,1,1
18122931516,did,Lead Tech,1,1
18728133010,did,Lead Tech,1,1
18728138113,did,Lead Tech,1,1
18122931469,did,Lead Tech,1,1
18728133009,did,Lead Tech,1,1
18728133020,did,Lead Tech,1,1
18728138098,did,Lead Tech,1,1
18728133026,did,Lead Tech,1,1
18728138060,did,Lead Tech,1,1
18728133025,did,Lead Tech,1,1
18728133039,did,Lead Tech,1,1
18122931386,did,Lead Tech,1,1
18122931151,did,Lead Tech,1,1
18728138079,did,Lead Tech,1,1
18728133002,did,Lead Tech,1,1
18728138118,did,Lead Tech,1,1
18728138071,did,Lead Tech,1,1
18728138109,did,Lead Tech,1,1
18122931194,did,Lead Tech,1,1
18728138065,did,Lead Tech,1,1
18728138075,did,Lead Tech,1,1
18728133011,did,Lead Tech,1,1
18728133024,did,Lead Tech,1,1
18728138099,did,Lead Tech,1,1
18728133001,did,Lead Tech,1,1
18728138102,did,Lead Tech,1,1
18728133029,did,Lead Tech,1,1
18122931507,did,Lead Tech,1,1
18728138106,did,Lead Tech,1,1
18728138066,did,Lead Tech,1,1
18122931338,did,Lead Tech,1,1
18122931051,did,Lead Tech,1,1
18728138105,did,Lead Tech,1,1
18728138064,did,Lead Tech,1,1
18122931030,did,Lead Tech,1,1
18728138107,did,Lead Tech,1,1
18122931141,did,Lead Tech,1,1
18728138112,did,Lead Tech,1,1
18728133005,did,Lead Tech,1,1
18728138110,did,Lead Tech,1,1
18728133014,did,Lead Tech,1,1
18728138068,did,Lead Tech,1,1
18728138062,did,Lead Tech,1,1
18728138097,did,Lead Tech,1,1
18122931369,did,Lead Tech,1,1
18728133028,did,Lead Tech,1,1
18728133013,did,Lead Tech,1,1
18728138108,did,Lead Tech,1,1
18728138124,did,Lead Tech,1,1
18728138121,did,Lead Tech,1,1
18122931078,did,Lead Tech,1,1
18122931219,did,Lead Tech,1,1
18728138122,did,Lead Tech,1,1
18728138061,did,Lead Tech,1,1
18122931468,did,Lead Tech,1,1
18728133022,did,Lead Tech,1,1
18122931186,did,Lead Tech,1,1
18728138104,did,Lead Tech,1,1
18122931317,did,Lead Tech,1,1
18122931335,did,Lead Tech,1,1
18728133019,did,Lead Tech,1,1
18122931331,did,Lead Tech,1,1
18122931377,did,Lead Tech,1,1
18728138063,did,Lead Tech,1,1
18728138094,did,Lead Tech,1,1
18728138074,did,Lead Tech,1,1
18122931381,did,Lead Tech,1,1
18122931513,did,Lead Tech,1,1
18728138067,did,Lead Tech,1,1
18122931418,did,Lead Tech,1,1
18728138081,did,Lead Tech,1,1
18728138069,did,Lead Tech,1,1
18728133004,did,Lead Tech,1,1
18122931275,did,Lead Tech,1,1
18728133008,did,Lead Tech,1,1
18728133027,did,Lead Tech,1,1
18283827139,did,Lead Tech,1,1
13203362713,did,Lead Tech,1,1
18283827073,did,Lead Tech,1,1
13203362642,did,Lead Tech,1,1
18283827063,did,Lead Tech,1,1
18108272651,did,Lead Tech,1,1
18283827059,did,Lead Tech,1,1
19183282153,did,Lead Tech,1,1
18283827072,did,Lead Tech,1,1
18108272734,did,Lead Tech,1,1
18108272752,did,Lead Tech,1,1
13203362594,did,Lead Tech,1,1
18108272708,did,Lead Tech,1,1
15732732257,did,Lead Tech,1,1
17023599214,did,Lead Tech,1,1
17023599218,did,Lead Tech,1,1
15732732254,did,Lead Tech,1,1
13203362756,did,Lead Tech,1,1
18283827095,did,Lead Tech,1,1
17023599219,did,Lead Tech,1,1
18108272705,did,Lead Tech,1,1
13203362724,did,Lead Tech,1,1
17023599215,did,Lead Tech,1,1
14015860751,did,Lead Tech,1,1
14015860096,did,Lead Tech,1,1
19183282199,did,Lead Tech,1,1
18108272620,did,Lead Tech,1,1
18283827061,did,Lead Tech,1,1
17023599217,did,Lead Tech,1,1
19183282136,did,Lead Tech,1,1
14015860841,did,Lead Tech,1,1
18283827023,did,Lead Tech,1,1
18108272683,did,Lead Tech,1,1
15732732249,did,Lead Tech,1,1
18283827118,did,Lead Tech,1,1
18283827141,did,Lead Tech,1,1
17023599216,did,Lead Tech,1,1
15732732260,did,Lead Tech,1,1
13203362750,did,Lead Tech,1,1
15732732269,did,Lead Tech,1,1
18283827038,did,Lead Tech,1,1
18283827120,did,Lead Tech,1,1
17023598901,did,Lead Tech,1,1
15732732275,did,Lead Tech,1,1
18283827033,did,Lead Tech,1,1
15732732247,did,Lead Tech,1,1
19183282189,did,Lead Tech,1,1
16629988745,did,Lead Tech,1,1
18283827074,did,Lead Tech,1,1
18108272691,did,Lead Tech,1,1
18108272703,did,Lead Tech,1,1
19183282186,did,Lead Tech,1,1
18283827047,did,Lead Tech,1,1
13203362723,did,Lead Tech,1,1
13203362704,did,Lead Tech,1,1
15732732265,did,Lead Tech,1,1
18283827080,did,Lead Tech,1,1
18283827024,did,Lead Tech,1,1
15732732244,did,Lead Tech,1,1
16629988723,did,Lead Tech,1,1
15732732274,did,Lead Tech,1,1
16629988760,did,Lead Tech,1,1
18283827086,did,Lead Tech,1,1
15732732250,did,Lead Tech,1,1
19183282183,did,Lead Tech,1,1
18283827099,did,Lead Tech,1,1
18108272733,did,Lead Tech,1,1
18283827132,did,Lead Tech,1,1
18108272604,did,Lead Tech,1,1
17023599223,did,Lead Tech,1,1
18108272643,did,Lead Tech,1,1
18108272706,did,Lead Tech,1,1
18108272704,did,Lead Tech,1,1
13203362734,did,Lead Tech,1,1
18283827069,did,Lead Tech,1,1
15732732261,did,Lead Tech,1,1
18283827032,did,Lead Tech,1,1
17023599224,did,Lead Tech,1,1
19183282138,did,Lead Tech,1,1
18283827048,did,Lead Tech,1,1
19183282124,did,Lead Tech,1,1
16629988729,did,Lead Tech,1,1
18108272592,did,Lead Tech,1,1
18283827068,did,Lead Tech,1,1
19183282166,did,Lead Tech,1,1
15732732270,did,Lead Tech,1,1
18283827045,did,Lead Tech,1,1
18108272644,did,Lead Tech,1,1
18108272590,did,Lead Tech,1,1
15732732276,did,Lead Tech,1,1
16629988683,did,Lead Tech,1,1
16629988721,did,Lead Tech,1,1
18283827128,did,Lead Tech,1,1
15732732272,did,Lead Tech,1,1
18283827052,did,Lead Tech,1,1
15732732248,did,Lead Tech,1,1
18108272685,did,Lead Tech,1,1
18283827110,did,Lead Tech,1,1
18108272726,did,Lead Tech,1,1
16629988695,did,Lead Tech,1,1
13203362720,did,Lead Tech,1,1
18108272663,did,Lead Tech,1,1
18108272608,did,Lead Tech,1,1
18283827070,did,Lead Tech,1,1
18283827040,did,Lead Tech,1,1
18283827096,did,Lead Tech,1,1
17023598961,did,Lead Tech,1,1
18108272740,did,Lead Tech,1,1
16629988685,did,Lead Tech,1,1
18108272696,did,Lead Tech,1,1
15732732256,did,Lead Tech,1,1
13203362726,did,Lead Tech,1,1
13203362681,did,Lead Tech,1,1
18108272617,did,Lead Tech,1,1
15732732251,did,Lead Tech,1,1
18283827103,did,Lead Tech,1,1
13203362590,did,Lead Tech,1,1
18283827084,did,Lead Tech,1,1
16629988786,did,Lead Tech,1,1
18108272677,did,Lead Tech,1,1
13203362670,did,Lead Tech,1,1
15732732271,did,Lead Tech,1,1
13203362707,did,Lead Tech,1,1
13203362596,did,Lead Tech,1,1
18108272674,did,Lead Tech,1,1
18283827018,did,Lead Tech,1,1
18283827134,did,Lead Tech,1,1
19183282002,did,Lead Tech,1,1
18108272684,did,Lead Tech,1,1
19183282044,did,Lead Tech,1,1
13203362755,did,Lead Tech,1,1
18108272626,did,Lead Tech,1,1
18283827098,did,Lead Tech,1,1
16629988758,did,Lead Tech,1,1
13203362630,did,Lead Tech,1,1
18108272732,did,Lead Tech,1,1
17023598879,did,Lead Tech,1,1
19183282094,did,Lead Tech,1,1
18108272671,did,Lead Tech,1,1
15732732262,did,Lead Tech,1,1
18108272744,did,Lead Tech,1,1
13203362773,did,Lead Tech,1,1
13203362693,did,Lead Tech,1,1
16629988751,did,Lead Tech,1,1
18283827137,did,Lead Tech,1,1
15732732259,did,Lead Tech,1,1
18108272664,did,Lead Tech,1,1
18283827109,did,Lead Tech,1,1
18283827075,did,Lead Tech,1,1
15732732264,did,Lead Tech,1,1
15732732243,did,Lead Tech,1,1
18108272621,did,Lead Tech,1,1
18108272631,did,Lead Tech,1,1
16629988682,did,Lead Tech,1,1
18108272737,did,Lead Tech,1,1
18283827029,did,Lead Tech,1,1
18108272601,did,Lead Tech,1,1
13203362567,did,Lead Tech,1,1
15732732246,did,Lead Tech,1,1
19183282190,did,Lead Tech,1,1
18283827076,did,Lead Tech,1,1
13203362612,did,Lead Tech,1,1
18283827138,did,Lead Tech,1,1
17023599176,did,Lead Tech,1,1
18108272606,did,Lead Tech,1,1
18108272692,did,Lead Tech,1,1
17023599213,did,Lead Tech,1,1
19183282105,did,Lead Tech,1,1
17023599212,did,Lead Tech,1,1
18108272650,did,Lead Tech,1,1
18108272652,did,Lead Tech,1,1
15732732263,did,Lead Tech,1,1
18283827060,did,Lead Tech,1,1
13203362641,did,Lead Tech,1,1
18108272713,did,Lead Tech,1,1
19183282010,did,Lead Tech,1,1
13203362652,did,Lead Tech,1,1
15732732252,did,Lead Tech,1,1
14015860142,did,Lead Tech,1,1
19183282208,did,Lead Tech,1,1
18283827114,did,Lead Tech,1,1
13203362592,did,Lead Tech,1,1
18283827116,did,Lead Tech,1,1
18283827123,did,Lead Tech,1,1
18108272680,did,Lead Tech,1,1
18283827057,did,Lead Tech,1,1
14015860508,did,Lead Tech,1,1
15732732253,did,Lead Tech,1,1
18108272599,did,Lead Tech,1,1
16629988772,did,Lead Tech,1,1
19183282184,did,Lead Tech,1,1
14304407075,did,Lead Tech,1,1
17314207002,did,Lead Tech,1,1
14304407467,did,Lead Tech,1,1
14304407471,did,Lead Tech,1,1
14304407475,did,Lead Tech,1,1
14304407447,did,Lead Tech,1,1
14304407121,did,Lead Tech,1,1
17314207146,did,Lead Tech,1,1
14304407138,did,Lead Tech,1,1
14304407163,did,Lead Tech,1,1
14304407461,did,Lead Tech,1,1
17314207017,did,Lead Tech,1,1
14304407263,did,Lead Tech,1,1
14304407036,did,Lead Tech,1,1
14304407125,did,Lead Tech,1,1
18648652610,did,Lead Tech,1,1
14304407088,did,Lead Tech,1,1
14304407454,did,Lead Tech,1,1
14304407480,did,Lead Tech,1,1
14304407154,did,Lead Tech,1,1
14304407329,did,Lead Tech,1,1
14304407155,did,Lead Tech,1,1
14304407488,did,Lead Tech,1,1
14304407122,did,Lead Tech,1,1
18648652304,did,Lead Tech,1,1
18648652584,did,Lead Tech,1,1
14304407150,did,Lead Tech,1,1
14304407465,did,Lead Tech,1,1
14304407483,did,Lead Tech,1,1
14304407140,did,Lead Tech,1,1
14304407473,did,Lead Tech,1,1
14304407006,did,Lead Tech,1,1
14304407039,did,Lead Tech,1,1
14304407124,did,Lead Tech,1,1
14304407243,did,Lead Tech,1,1
14304407118,did,Lead Tech,1,1
14304407459,did,Lead Tech,1,1
14304407147,did,Lead Tech,1,1
14304407468,did,Lead Tech,1,1
14304407236,did,Lead Tech,1,1
14304407120,did,Lead Tech,1,1
18648652379,did,Lead Tech,1,1
18648652359,did,Lead Tech,1,1
17314207143,did,Lead Tech,1,1
17314207154,did,Lead Tech,1,1
17314207066,did,Lead Tech,1,1
14304407132,did,Lead Tech,1,1
17314207127,did,Lead Tech,1,1
14304407043,did,Lead Tech,1,1
14304407005,did,Lead Tech,1,1
14304407145,did,Lead Tech,1,1
17314207117,did,Lead Tech,1,1
17314207147,did,Lead Tech,1,1
17314207118,did,Lead Tech,1,1
14304407037,did,Lead Tech,1,1
14304407134,did,Lead Tech,1,1
14304407004,did,Lead Tech,1,1
17314207099,did,Lead Tech,1,1
14304407479,did,Lead Tech,1,1
14304407241,did,Lead Tech,1,1
14304407128,did,Lead Tech,1,1
14304407476,did,Lead Tech,1,1
14304407173,did,Lead Tech,1,1
17314207025,did,Lead Tech,1,1
17314190425,did,Lead Tech,1,1
14304407149,did,Lead Tech,1,1
14304407161,did,Lead Tech,1,1
17314190769,did,Lead Tech,1,1
18648652648,did,Lead Tech,1,1
17314207030,did,Lead Tech,1,1
14304407462,did,Lead Tech,1,1
14304407133,did,Lead Tech,1,1
14304407142,did,Lead Tech,1,1
14304407469,did,Lead Tech,1,1
14304407135,did,Lead Tech,1,1
14304407239,did,Lead Tech,1,1
14304407113,did,Lead Tech,1,1
14304407038,did,Lead Tech,1,1
14304407136,did,Lead Tech,1,1
17314207053,did,Lead Tech,1,1
14304407481,did,Lead Tech,1,1
14304407160,did,Lead Tech,1,1
14304407449,did,Lead Tech,1,1
17314190536,did,Lead Tech,1,1
14304407152,did,Lead Tech,1,1
18648652461,did,Lead Tech,1,1
14304407175,did,Lead Tech,1,1
14304407474,did,Lead Tech,1,1
14304407048,did,Lead Tech,1,1
14304407240,did,Lead Tech,1,1
14304407477,did,Lead Tech,1,1
18648652435,did,Lead Tech,1,1
18648652585,did,Lead Tech,1,1
18648652286,did,Lead Tech,1,1
14304407042,did,Lead Tech,1,1
18648652393,did,Lead Tech,1,1
18648652366,did,Lead Tech,1,1
14304407047,did,Lead Tech,1,1
14304407453,did,Lead Tech,1,1
14304407119,did,Lead Tech,1,1
14304407450,did,Lead Tech,1,1
17314207160,did,Lead Tech,1,1
14304407162,did,Lead Tech,1,1
14304407074,did,Lead Tech,1,1
18648652361,did,Lead Tech,1,1
14304407076,did,Lead Tech,1,1
14304407158,did,Lead Tech,1,1
14304407463,did,Lead Tech,1,1
18648652589,did,Lead Tech,1,1
14304407131,did,Lead Tech,1,1
14304407482,did,Lead Tech,1,1
14304407046,did,Lead Tech,1,1
14304407170,did,Lead Tech,1,1
14304407049,did,Lead Tech,1,1
18648652652,did,Lead Tech,1,1
14304407390,did,Lead Tech,1,1
14304407044,did,Lead Tech,1,1
14304407448,did,Lead Tech,1,1
14304407156,did,Lead Tech,1,1
17314207149,did,Lead Tech,1,1
14304407456,did,Lead Tech,1,1
18648652280,did,Lead Tech,1,1
14304407153,did,Lead Tech,1,1
18648652422,did,Lead Tech,1,1
14304407466,did,Lead Tech,1,1
14304407457,did,Lead Tech,1,1
14304407041,did,Lead Tech,1,1
17314190803,did,Lead Tech,1,1
14304407451,did,Lead Tech,1,1
17314207046,did,Lead Tech,1,1
18648652471,did,Lead Tech,1,1
14304407137,did,Lead Tech,1,1
14304407464,did,Lead Tech,1,1
14304407484,did,Lead Tech,1,1
14304407129,did,Lead Tech,1,1
14304407485,did,Lead Tech,1,1
14304407146,did,Lead Tech,1,1
14304407144,did,Lead Tech,1,1
14304407478,did,Lead Tech,1,1
14304407242,did,Lead Tech,1,1
14304407143,did,Lead Tech,1,1
14304407035,did,Lead Tech,1,1
14304407045,did,Lead Tech,1,1
14304407271,did,Lead Tech,1,1
14304407487,did,Lead Tech,1,1
14304407237,did,Lead Tech,1,1
14304407066,did,Lead Tech,1,1
14304407139,did,Lead Tech,1,1
14304407148,did,Lead Tech,1,1
14304407157,did,Lead Tech,1,1
18648652563,did,Lead Tech,1,1
14304407067,did,Lead Tech,1,1
17314190802,did,Lead Tech,1,1
17314207031,did,Lead Tech,1,1
14304407068,did,Lead Tech,1,1
14304407040,did,Lead Tech,1,1
18648652339,did,Lead Tech,1,1
14304407176,did,Lead Tech,1,1
14304407238,did,Lead Tech,1,1
14304407105,did,Lead Tech,1,1
18648652564,did,Lead Tech,1,1
17314207095,did,Lead Tech,1,1
17314207137,did,Lead Tech,1,1
14304407126,did,Lead Tech,1,1
17314190538,did,Lead Tech,1,1
14304407174,did,Lead Tech,1,1
14304407171,did,Lead Tech,1,1
14304407470,did,Lead Tech,1,1
14304407486,did,Lead Tech,1,1
17314207086,did,Lead Tech,1,1
14304407141,did,Lead Tech,1,1
14304407065,did,Lead Tech,1,1
18648652371,did,Lead Tech,1,1
14304407151,did,Lead Tech,1,1
17314207133,did,Lead Tech,1,1
14304407127,did,Lead Tech,1,1
14304407452,did,Lead Tech,1,1
14304407460,did,Lead Tech,1,1
14304407472,did,Lead Tech,1,1
14304407123,did,Lead Tech,1,1
17314190757,did,Lead Tech,1,1
14304407159,did,Lead Tech,1,1
17314207153,did,Lead Tech,1,1
14304407235,did,Lead Tech,1,1
14304407458,did,Lead Tech,1,1
14304407455,did,Lead Tech,1,1
17314207050,did,Lead Tech,1,1
18648652303,did,Lead Tech,1,1
18648652306,did,Lead Tech,1,1
