did,number_type,tag,customer_tier,vendor_tier
19284949083,did,ABC,1,1
18702108083,did,ABC,1,1
19127424751,did,ABC,1,1
19127424756,did,ABC,1,1
19127424734,did,ABC,1,1
16592171745,did,ABC,1,1
18702108107,did,ABC,1,1
19127424748,did,ABC,1,1
19284949113,did,ABC,1,1
19284949085,did,ABC,1,1
19284949086,did,ABC,1,1
15638957281,did,ABC,1,1
19127424788,did,ABC,1,1
19127424741,did,ABC,1,1
19127424735,did,ABC,1,1
19705199207,did,ABC,1,1
16592171718,did,ABC,1,1
18702108018,did,ABC,1,1
19127424755,did,ABC,1,1
16592171721,did,ABC,1,1
19284949107,did,ABC,1,1
16592171747,did,ABC,1,1
16592171739,did,ABC,1,1
19127424803,did,ABC,1,1
13024698881,did,ABC,1,1
16592171738,did,ABC,1,1
18702108124,did,ABC,1,1
19284949097,did,ABC,1,1
15638957167,did,ABC,1,1
18702108069,did,ABC,1,1
19284949073,did,ABC,1,1
16592171733,did,ABC,1,1
13024698878,did,ABC,1,1
19705199198,did,ABC,1,1
16592171743,did,ABC,1,1
19127424789,did,ABC,1,1
19284949049,did,ABC,1,1
19705199192,did,ABC,1,1
16592171744,did,ABC,1,1
18702108086,did,ABC,1,1
19284949123,did,ABC,1,1
19127424740,did,ABC,1,1
19127424793,did,ABC,1,1
19862810531,did,ABC,1,1
19705199050,did,ABC,1,1
18702108198,did,ABC,1,1
15638957805,did,ABC,1,1
19705199156,did,ABC,1,1
19705199048,did,ABC,1,1
19127424737,did,ABC,1,1
19862810605,did,ABC,1,1
19127424798,did,ABC,1,1
19862810697,did,ABC,1,1
19705199046,did,ABC,1,1
19127424796,did,ABC,1,1
19127424801,did,ABC,1,1
19127424743,did,ABC,1,1
19705199212,did,ABC,1,1
15638957791,did,ABC,1,1
19127424762,did,ABC,1,1
19705199209,did,ABC,1,1
15638957417,did,ABC,1,1
19705199184,did,ABC,1,1
19284949061,did,ABC,1,1
16592171717,did,ABC,1,1
19127424783,did,ABC,1,1
16592171722,did,ABC,1,1
16592171736,did,ABC,1,1
19705199206,did,ABC,1,1
16592171716,did,ABC,1,1
19127424794,did,ABC,1,1
19127424776,did,ABC,1,1
19284949063,did,ABC,1,1
15638957075,did,ABC,1,1
19284949047,did,ABC,1,1
19284949115,did,ABC,1,1
19284949125,did,ABC,1,1
19705199049,did,ABC,1,1
19127424746,did,ABC,1,1
19284949100,did,ABC,1,1
19127424786,did,ABC,1,1
19127424736,did,ABC,1,1
19127424750,did,ABC,1,1
19127424764,did,ABC,1,1
19127424760,did,ABC,1,1
19127424731,did,ABC,1,1
16592171735,did,ABC,1,1
19705199181,did,ABC,1,1
18702108255,did,ABC,1,1
19705199180,did,ABC,1,1
16592171741,did,ABC,1,1
19705199042,did,ABC,1,1
19127424752,did,ABC,1,1
18728138119,did,ABC,1,1
18122931112,did,ABC,1,1
18122931201,did,ABC,1,1
18122931197,did,ABC,1,1
18122931198,did,ABC,1,1
18122931052,did,ABC,1,1
18122931519,did,ABC,1,1
18122931110,did,ABC,1,1
18122931516,did,ABC,1,1
18728133010,did,ABC,1,1
18728138113,did,ABC,1,1
18122931469,did,ABC,1,1
18728133009,did,ABC,1,1
18728133020,did,ABC,1,1
18728138098,did,ABC,1,1
18728133026,did,ABC,1,1
18728138060,did,ABC,1,1
18728133025,did,ABC,1,1
18728133039,did,ABC,1,1
18122931386,did,ABC,1,1
18122931151,did,ABC,1,1
18728138079,did,ABC,1,1
18728133002,did,ABC,1,1
18728138118,did,ABC,1,1
18728138071,did,ABC,1,1
18728138109,did,ABC,1,1
18122931194,did,ABC,1,1
18728138065,did,ABC,1,1
18728138075,did,ABC,1,1
18728133011,did,ABC,1,1
18728133024,did,ABC,1,1
18728138099,did,ABC,1,1
18728133001,did,ABC,1,1
18728138102,did,ABC,1,1
18728133029,did,ABC,1,1
18122931507,did,ABC,1,1
18728138106,did,ABC,1,1
18728138066,did,ABC,1,1
18122931338,did,ABC,1,1
18122931051,did,ABC,1,1
18728138105,did,ABC,1,1
18728138064,did,ABC,1,1
18122931030,did,ABC,1,1
18728138107,did,ABC,1,1
18122931141,did,ABC,1,1
18728138112,did,ABC,1,1
18728133005,did,ABC,1,1
18728138110,did,ABC,1,1
18728133014,did,ABC,1,1
18728138068,did,ABC,1,1
18728138062,did,ABC,1,1
18728138097,did,ABC,1,1
18122931369,did,ABC,1,1
18728133028,did,ABC,1,1
18728133013,did,ABC,1,1
18728138108,did,ABC,1,1
18728138124,did,ABC,1,1
18728138121,did,ABC,1,1
18122931078,did,ABC,1,1
18122931219,did,ABC,1,1
18728138122,did,ABC,1,1
18728138061,did,ABC,1,1
18122931468,did,ABC,1,1
18728133022,did,ABC,1,1
18122931186,did,ABC,1,1
18728138104,did,ABC,1,1
18122931317,did,ABC,1,1
18122931335,did,ABC,1,1
18728133019,did,ABC,1,1
18122931331,did,ABC,1,1
18122931377,did,ABC,1,1
18728138063,did,ABC,1,1
18728138094,did,ABC,1,1
18728138074,did,ABC,1,1
18122931381,did,ABC,1,1
18122931513,did,ABC,1,1
18728138067,did,ABC,1,1
18122931418,did,ABC,1,1
18728138081,did,ABC,1,1
18728138069,did,ABC,1,1
18728133004,did,ABC,1,1
18122931275,did,ABC,1,1
18728133008,did,ABC,1,1
18728133027,did,ABC,1,1
18283827139,did,ABC,1,1
13203362713,did,ABC,1,1
18283827073,did,ABC,1,1
13203362642,did,ABC,1,1
18283827063,did,ABC,1,1
18108272651,did,ABC,1,1
18283827059,did,ABC,1,1
19183282153,did,ABC,1,1
18283827072,did,ABC,1,1
18108272734,did,ABC,1,1
18108272752,did,ABC,1,1
13203362594,did,ABC,1,1
18108272708,did,ABC,1,1
15732732257,did,ABC,1,1
17023599214,did,ABC,1,1
17023599218,did,ABC,1,1
15732732254,did,ABC,1,1
13203362756,did,ABC,1,1
18283827095,did,ABC,1,1
17023599219,did,ABC,1,1
18108272705,did,ABC,1,1
13203362724,did,ABC,1,1
17023599215,did,ABC,1,1
14015860751,did,ABC,1,1
14015860096,did,ABC,1,1
19183282199,did,ABC,1,1
18108272620,did,ABC,1,1
18283827061,did,ABC,1,1
17023599217,did,ABC,1,1
19183282136,did,ABC,1,1
14015860841,did,ABC,1,1
18283827023,did,ABC,1,1
18108272683,did,ABC,1,1
15732732249,did,ABC,1,1
18283827118,did,ABC,1,1
18283827141,did,ABC,1,1
17023599216,did,ABC,1,1
15732732260,did,ABC,1,1
13203362750,did,ABC,1,1
15732732269,did,ABC,1,1
18283827038,did,ABC,1,1
18283827120,did,ABC,1,1
17023598901,did,ABC,1,1
15732732275,did,ABC,1,1
18283827033,did,ABC,1,1
15732732247,did,ABC,1,1
19183282189,did,ABC,1,1
16629988745,did,ABC,1,1
18283827074,did,ABC,1,1
18108272691,did,ABC,1,1
18108272703,did,ABC,1,1
19183282186,did,ABC,1,1
18283827047,did,ABC,1,1
13203362723,did,ABC,1,1
13203362704,did,ABC,1,1
15732732265,did,ABC,1,1
18283827080,did,ABC,1,1
18283827024,did,ABC,1,1
15732732244,did,ABC,1,1
16629988723,did,ABC,1,1
15732732274,did,ABC,1,1
16629988760,did,ABC,1,1
18283827086,did,ABC,1,1
15732732250,did,ABC,1,1
19183282183,did,ABC,1,1
18283827099,did,ABC,1,1
18108272733,did,ABC,1,1
18283827132,did,ABC,1,1
18108272604,did,ABC,1,1
17023599223,did,ABC,1,1
18108272643,did,ABC,1,1
18108272706,did,ABC,1,1
18108272704,did,ABC,1,1
13203362734,did,ABC,1,1
18283827069,did,ABC,1,1
15732732261,did,ABC,1,1
18283827032,did,ABC,1,1
17023599224,did,ABC,1,1
19183282138,did,ABC,1,1
18283827048,did,ABC,1,1
19183282124,did,ABC,1,1
16629988729,did,ABC,1,1
18108272592,did,ABC,1,1
18283827068,did,ABC,1,1
19183282166,did,ABC,1,1
15732732270,did,ABC,1,1
18283827045,did,ABC,1,1
18108272644,did,ABC,1,1
18108272590,did,ABC,1,1
15732732276,did,ABC,1,1
16629988683,did,ABC,1,1
16629988721,did,ABC,1,1
18283827128,did,ABC,1,1
15732732272,did,ABC,1,1
18283827052,did,ABC,1,1
15732732248,did,ABC,1,1
18108272685,did,ABC,1,1
18283827110,did,ABC,1,1
18108272726,did,ABC,1,1
16629988695,did,ABC,1,1
13203362720,did,ABC,1,1
18108272663,did,ABC,1,1
18108272608,did,ABC,1,1
18283827070,did,ABC,1,1
18283827040,did,ABC,1,1
18283827096,did,ABC,1,1
17023598961,did,ABC,1,1
18108272740,did,ABC,1,1
16629988685,did,ABC,1,1
18108272696,did,ABC,1,1
15732732256,did,ABC,1,1
13203362726,did,ABC,1,1
13203362681,did,ABC,1,1
18108272617,did,ABC,1,1
15732732251,did,ABC,1,1
18283827103,did,ABC,1,1
13203362590,did,ABC,1,1
18283827084,did,ABC,1,1
16629988786,did,ABC,1,1
18108272677,did,ABC,1,1
13203362670,did,ABC,1,1
15732732271,did,ABC,1,1
13203362707,did,ABC,1,1
13203362596,did,ABC,1,1
18108272674,did,ABC,1,1
18283827018,did,ABC,1,1
18283827134,did,ABC,1,1
19183282002,did,ABC,1,1
18108272684,did,ABC,1,1
19183282044,did,ABC,1,1
13203362755,did,ABC,1,1
18108272626,did,ABC,1,1
18283827098,did,ABC,1,1
16629988758,did,ABC,1,1
13203362630,did,ABC,1,1
18108272732,did,ABC,1,1
17023598879,did,ABC,1,1
19183282094,did,ABC,1,1
18108272671,did,ABC,1,1
15732732262,did,ABC,1,1
18108272744,did,ABC,1,1
13203362773,did,ABC,1,1
13203362693,did,ABC,1,1
16629988751,did,ABC,1,1
18283827137,did,ABC,1,1
15732732259,did,ABC,1,1
18108272664,did,ABC,1,1
18283827109,did,ABC,1,1
18283827075,did,ABC,1,1
15732732264,did,ABC,1,1
15732732243,did,ABC,1,1
18108272621,did,ABC,1,1
18108272631,did,ABC,1,1
16629988682,did,ABC,1,1
18108272737,did,ABC,1,1
18283827029,did,ABC,1,1
18108272601,did,ABC,1,1
13203362567,did,ABC,1,1
15732732246,did,ABC,1,1
19183282190,did,ABC,1,1
18283827076,did,ABC,1,1
13203362612,did,ABC,1,1
18283827138,did,ABC,1,1
17023599176,did,ABC,1,1
18108272606,did,ABC,1,1
18108272692,did,ABC,1,1
17023599213,did,ABC,1,1
19183282105,did,ABC,1,1
17023599212,did,ABC,1,1
18108272650,did,ABC,1,1
18108272652,did,ABC,1,1
15732732263,did,ABC,1,1
18283827060,did,ABC,1,1
13203362641,did,ABC,1,1
18108272713,did,ABC,1,1
19183282010,did,ABC,1,1
13203362652,did,ABC,1,1
15732732252,did,ABC,1,1
14015860142,did,ABC,1,1
19183282208,did,ABC,1,1
18283827114,did,ABC,1,1
13203362592,did,ABC,1,1
18283827116,did,ABC,1,1
18283827123,did,ABC,1,1
18108272680,did,ABC,1,1
18283827057,did,ABC,1,1
14015860508,did,ABC,1,1
15732732253,did,ABC,1,1
18108272599,did,ABC,1,1
16629988772,did,ABC,1,1
19183282184,did,ABC,1,1
14304407075,did,ABC,1,1
17314207002,did,ABC,1,1
14304407467,did,ABC,1,1
14304407471,did,ABC,1,1
14304407475,did,ABC,1,1
14304407447,did,ABC,1,1
14304407121,did,ABC,1,1
17314207146,did,ABC,1,1
14304407138,did,ABC,1,1
14304407163,did,ABC,1,1
14304407461,did,ABC,1,1
17314207017,did,ABC,1,1
14304407263,did,ABC,1,1
14304407036,did,ABC,1,1
14304407125,did,ABC,1,1
18648652610,did,ABC,1,1
14304407088,did,ABC,1,1
14304407454,did,ABC,1,1
14304407480,did,ABC,1,1
14304407154,did,ABC,1,1
14304407329,did,ABC,1,1
14304407155,did,ABC,1,1
14304407488,did,ABC,1,1
14304407122,did,ABC,1,1
18648652304,did,ABC,1,1
18648652584,did,ABC,1,1
14304407150,did,ABC,1,1
14304407465,did,ABC,1,1
14304407483,did,ABC,1,1
14304407140,did,ABC,1,1
14304407473,did,ABC,1,1
14304407006,did,ABC,1,1
14304407039,did,ABC,1,1
14304407124,did,ABC,1,1
14304407243,did,ABC,1,1
14304407118,did,ABC,1,1
14304407459,did,ABC,1,1
14304407147,did,ABC,1,1
14304407468,did,ABC,1,1
14304407236,did,ABC,1,1
14304407120,did,ABC,1,1
18648652379,did,ABC,1,1
18648652359,did,ABC,1,1
17314207143,did,ABC,1,1
17314207154,did,ABC,1,1
17314207066,did,ABC,1,1
14304407132,did,ABC,1,1
17314207127,did,ABC,1,1
14304407043,did,ABC,1,1
14304407005,did,ABC,1,1
14304407145,did,ABC,1,1
17314207117,did,ABC,1,1
17314207147,did,ABC,1,1
17314207118,did,ABC,1,1
14304407037,did,ABC,1,1
14304407134,did,ABC,1,1
14304407004,did,ABC,1,1
17314207099,did,ABC,1,1
14304407479,did,ABC,1,1
14304407241,did,ABC,1,1
14304407128,did,ABC,1,1
14304407476,did,ABC,1,1
14304407173,did,ABC,1,1
17314207025,did,ABC,1,1
17314190425,did,ABC,1,1
14304407149,did,ABC,1,1
14304407161,did,ABC,1,1
17314190769,did,ABC,1,1
18648652648,did,ABC,1,1
17314207030,did,ABC,1,1
14304407462,did,ABC,1,1
14304407133,did,ABC,1,1
14304407142,did,ABC,1,1
14304407469,did,ABC,1,1
14304407135,did,ABC,1,1
14304407239,did,ABC,1,1
14304407113,did,ABC,1,1
14304407038,did,ABC,1,1
14304407136,did,ABC,1,1
17314207053,did,ABC,1,1
14304407481,did,ABC,1,1
14304407160,did,ABC,1,1
14304407449,did,ABC,1,1
17314190536,did,ABC,1,1
14304407152,did,ABC,1,1
18648652461,did,ABC,1,1
14304407175,did,ABC,1,1
14304407474,did,ABC,1,1
14304407048,did,ABC,1,1
14304407240,did,ABC,1,1
14304407477,did,ABC,1,1
18648652435,did,ABC,1,1
18648652585,did,ABC,1,1
18648652286,did,ABC,1,1
14304407042,did,ABC,1,1
18648652393,did,ABC,1,1
18648652366,did,ABC,1,1
14304407047,did,ABC,1,1
14304407453,did,ABC,1,1
14304407119,did,ABC,1,1
14304407450,did,ABC,1,1
17314207160,did,ABC,1,1
14304407162,did,ABC,1,1
14304407074,did,ABC,1,1
18648652361,did,ABC,1,1
14304407076,did,ABC,1,1
14304407158,did,ABC,1,1
14304407463,did,ABC,1,1
18648652589,did,ABC,1,1
14304407131,did,ABC,1,1
14304407482,did,ABC,1,1
14304407046,did,ABC,1,1
14304407170,did,ABC,1,1
14304407049,did,ABC,1,1
18648652652,did,ABC,1,1
14304407390,did,ABC,1,1
14304407044,did,ABC,1,1
14304407448,did,ABC,1,1
14304407156,did,ABC,1,1
17314207149,did,ABC,1,1
14304407456,did,ABC,1,1
18648652280,did,ABC,1,1
14304407153,did,ABC,1,1
18648652422,did,ABC,1,1
14304407466,did,ABC,1,1
14304407457,did,ABC,1,1
14304407041,did,ABC,1,1
17314190803,did,ABC,1,1
14304407451,did,ABC,1,1
17314207046,did,ABC,1,1
18648652471,did,ABC,1,1
14304407137,did,ABC,1,1
14304407464,did,ABC,1,1
14304407484,did,ABC,1,1
14304407129,did,ABC,1,1
14304407485,did,ABC,1,1
14304407146,did,ABC,1,1
14304407144,did,ABC,1,1
14304407478,did,ABC,1,1
14304407242,did,ABC,1,1
14304407143,did,ABC,1,1
14304407035,did,ABC,1,1
14304407045,did,ABC,1,1
14304407271,did,ABC,1,1
14304407487,did,ABC,1,1
14304407237,did,ABC,1,1
14304407066,did,ABC,1,1
14304407139,did,ABC,1,1
14304407148,did,ABC,1,1
14304407157,did,ABC,1,1
18648652563,did,ABC,1,1
14304407067,did,ABC,1,1
17314190802,did,ABC,1,1
17314207031,did,ABC,1,1
14304407068,did,ABC,1,1
14304407040,did,ABC,1,1
18648652339,did,ABC,1,1
14304407176,did,ABC,1,1
14304407238,did,ABC,1,1
14304407105,did,ABC,1,1
18648652564,did,ABC,1,1
17314207095,did,ABC,1,1
17314207137,did,ABC,1,1
14304407126,did,ABC,1,1
17314190538,did,ABC,1,1
14304407174,did,ABC,1,1
14304407171,did,ABC,1,1
14304407470,did,ABC,1,1
14304407486,did,ABC,1,1
17314207086,did,ABC,1,1
14304407141,did,ABC,1,1
14304407065,did,ABC,1,1
18648652371,did,ABC,1,1
14304407151,did,ABC,1,1
17314207133,did,ABC,1,1
14304407127,did,ABC,1,1
14304407452,did,ABC,1,1
14304407460,did,ABC,1,1
14304407472,did,ABC,1,1
14304407123,did,ABC,1,1
17314190757,did,ABC,1,1
14304407159,did,ABC,1,1
17314207153,did,ABC,1,1
14304407235,did,ABC,1,1
14304407458,did,ABC,1,1
14304407455,did,ABC,1,1
17314207050,did,ABC,1,1
18648652303,did,ABC,1,1
18648652306,did,ABC,1,1
